Size:;323;
Target Language:;English;
Index;English(Source);English(Target)
1,1,1;Welder Info;Welder Info;
1,1,2;Welder Name;Welder Name;
1,1,3;OK;OK;
1,1,4;IP Address;IP Address;
1,1,5;Welder;Welder;
2,1,1,1;Trigger Delay has been turned on, but the assigned input did not become inactive within the 30 seconds allowed.;Trigger Delay has been turned on, but the assigned input did not become inactive within the 30 seconds allowed.;
2,1,1,2;The Missing Part Minimum Distance has not been reached before Trigger occurred or the Maximum Distance has been exceeded before Trigger has occurred.;The Missing Part Minimum Distance has not been reached before Trigger occurred or the Maximum Distance has been exceeded before Trigger has occurred.;
2,1,1,3;The Part Contact Distance has been met before the defined Pretrigger Distance.;The Part Contact Distance has been met before the defined Pretrigger Distance.;
2,2,1,1;ERROR DESCRIPTION;ERROR DESCRIPTION;
2,2,1,2;RESET;RESET;
2,2,1,3;HIDE;HIDE;
2,3,1,1;External Sonics Delay Timeout;External Sonics Delay Timeout;
2,3,1,2;Part Window Abort;Part Window Abort;
2,3,1,3;Part Contact before;Part Contact before;
2,4;ALARM;ALARM;
4,1,1;MENU;MENU;
4,1,2;RECIPES;RECIPES;
4,1,3;PRODUCTION;PRODUCTION;
4,1,4;ANALYTICS;ANALYTICS;
4,1,5;SYSTEM;SYSTEM;
4,1,6;Select Welder;Select Welder;
4,1,7;Welder;Welder;
5,10,1,1;Calibration;Calibration;
5,10,2,1,1;Alarm Management;Alarm Management;
5,10,2,1,2,1;Overloads;Overloads;
5,10,2,1,2,10;Log Alarm;Log Alarm;
5,10,2,1,2,11;General Alarm;General Alarm;
5,10,2,1,2,12;RESET TO DEFAULT;RESET TO DEFAULT;
5,10,2,1,2,13;CANCEL;CANCEL;
5,10,2,1,2,14;SAVE;SAVE;
5,10,2,1,2,2;Cycle Modified;Cycle Modified;
5,10,2,1,2,3;Warnings;Warnings;
5,10,2,1,2,4;Suspect;Suspect;
5,10,2,1,2,5;Reject;Reject;
5,10,2,1,2,6;No Cycle;No Cycle;
5,10,2,1,2,7;Hardware Failure;Hardware Failure;
5,10,2,1,2,8;Non-Cycle Overloads;Non-Cycle Overloads;
5,10,2,1,2,9;Reset Required;Reset Required;
5,10,2,2,1;General;General;
5,10,2,2,2,1;Machine Name;Machine Name;
5,10,2,2,2,10;CANCEL;CANCEL;
5,10,2,2,2,11;SAVE;SAVE;
5,10,2,2,2,2;UW M/C Name;UW M/C Name;
5,10,2,2,2,3;Memory Full Action;Memory Full Action;
5,10,2,2,2,4;Key;Key;
5,10,2,2,2,5;R;R;
5,10,2,2,2,6;Authority Check;Authority Check;
